	Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	Final Grouping	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2	Unnamed: 50	Unnamed: 51
1104	SRX13893143	SRR17730392	2/28/2022 0:04	1/25/2022 4:28	14190763.0	2554337340.0	14190763.0	180.0	1781.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17730/SRR17730392/SRR17730392.lite.1	MTB H37Rv TEX+ RNA-seq midlog	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	2299.0	SRP356545	PRJNA799829		799829.0	SRS11757020	SAMN25210038	simple	83332.0	Mycobacterium tuberculosis H37Rv	Mycobacterium tuberculosis H37Rv							no					ADVANCED MEDICAL & DENTAL INSTITUTE, UNIVERSITI SAINS MALAYSIA	SRA1361329		public	BEF1831EBAD5D9FBB8DE40AF6FEC780F	6CA866DE57946B827BBBB5B88C3F0B70				
1105	SRX13893144	SRR17730391	2/28/2022 0:04	1/25/2022 4:26	9189480.0	1654106400.0	9189480.0	180.0	1146.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17730/SRR17730391/SRR17730391.lite.1	MTB H37Rv TEX+ RNA-seq iron	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	2300.0	SRP356545	PRJNA799829		799829.0	SRS11757020	SAMN25210038	simple	83332.0	Mycobacterium tuberculosis H37Rv	Mycobacterium tuberculosis H37Rv							no					ADVANCED MEDICAL & DENTAL INSTITUTE, UNIVERSITI SAINS MALAYSIA	SRA1361329		public	FC4359B06BD8FF27FDFE672C709CBD6C	0D49405B8CFCDABAFC15777413A208D8				
1106	SRX13893145	SRR17730390	2/28/2022 0:04	1/25/2022 4:26	9089494.0	1636108920.0	9089494.0	180.0	1131.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17730/SRR17730390/SRR17730390.lite.1	MTB H37Rv TEX+ RNA-seq isoniazid	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	2301.0	SRP356545	PRJNA799829		799829.0	SRS11757020	SAMN25210038	simple	83332.0	Mycobacterium tuberculosis H37Rv	Mycobacterium tuberculosis H37Rv							no					ADVANCED MEDICAL & DENTAL INSTITUTE, UNIVERSITI SAINS MALAYSIA	SRA1361329		public	D1FD47986A09433FE29318C7723DBF86	596173B622AF5BE4B855E70BC2BA8D70				
1107	SRX13893146	SRR17730389	2/28/2022 0:04	1/25/2022 4:26	10117822.0	1821207960.0	10117822.0	180.0	1262.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17730/SRR17730389/SRR17730389.lite.1	MTB H37Rv TEX+ RNA-seq kanamycin	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	2302.0	SRP356545	PRJNA799829		799829.0	SRS11757020	SAMN25210038	simple	83332.0	Mycobacterium tuberculosis H37Rv	Mycobacterium tuberculosis H37Rv							no					ADVANCED MEDICAL & DENTAL INSTITUTE, UNIVERSITI SAINS MALAYSIA	SRA1361329		public	000805D0742BD3D7DE9C5BC1938A4B80	9D5336F9CB9EB91693C23AA12ADF75C4				
1108	SRX13893147	SRR17730388	2/28/2022 0:04	1/25/2022 4:26	8392978.0	1510736040.0	8392978.0	180.0	1044.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17730/SRR17730388/SRR17730388.lite.1	MTB H37Rv TEX+ RNA-seq starvation	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	2303.0	SRP356545	PRJNA799829		799829.0	SRS11757020	SAMN25210038	simple	83332.0	Mycobacterium tuberculosis H37Rv	Mycobacterium tuberculosis H37Rv							no					ADVANCED MEDICAL & DENTAL INSTITUTE, UNIVERSITI SAINS MALAYSIA	SRA1361329		public	D3E92311646168A4258E4C59D91B8236	51838A72CD013A34473A0BD47BE6E33C				
1109	SRX13893148	SRR17730387	2/28/2022 0:04	1/25/2022 4:26	9368958.0	1686412440.0	9368958.0	180.0	1170.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR017/17730/SRR17730387/SRR17730387.lite.1	MTB H37Rv TEX+ RNA-seq detergent	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	2304.0	SRP356545	PRJNA799829		799829.0	SRS11757020	SAMN25210038	simple	83332.0	Mycobacterium tuberculosis H37Rv	Mycobacterium tuberculosis H37Rv							no					ADVANCED MEDICAL & DENTAL INSTITUTE, UNIVERSITI SAINS MALAYSIA	SRA1361329		public	B81D092F1034BA7C7B9FAA7D6B0E370A	C5735EA4E521D083252F14BF7050021C				
1110	SRX13893153	SRR17730382	2/28/2022 0:04	1/25/2022 4:28	12974569.0	2335422420.0	12974569.0	180.0	1513.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR017/17730/SRR17730382/SRR17730382.lite.1	MTB H37Rv RNA-seq midlog	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	2305.0	SRP356545	PRJNA799829		799829.0	SRS11757020	SAMN25210038	simple	83332.0	Mycobacterium tuberculosis H37Rv	Mycobacterium tuberculosis H37Rv							no					ADVANCED MEDICAL & DENTAL INSTITUTE, UNIVERSITI SAINS MALAYSIA	SRA1361329		public	E57C18A2F783A8FC3F1EDB5EFD56C826	7FC3D6E738F2E167B34238C1BE1E34C9				
1111	SRX13893154	SRR17730381	2/28/2022 0:04	1/25/2022 4:25	8596092.0	1547296560.0	8596092.0	180.0	971.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17730/SRR17730381/SRR17730381.lite.1	MTB H37Rv RNA-seq iron	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	2306.0	SRP356545	PRJNA799829		799829.0	SRS11757020	SAMN25210038	simple	83332.0	Mycobacterium tuberculosis H37Rv	Mycobacterium tuberculosis H37Rv							no					ADVANCED MEDICAL & DENTAL INSTITUTE, UNIVERSITI SAINS MALAYSIA	SRA1361329		public	F7D0A61D661A699429725B5968095BA4	C0D4478FBDA08BAC05273EA9DA8EA664				
1112	SRX13893155	SRR17730380	2/28/2022 0:04	1/25/2022 4:27	10363541.0	1865437380.0	10363541.0	180.0	1188.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17730/SRR17730380/SRR17730380.lite.1	MTB H37Rv RNA-seq isoniazid	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	2307.0	SRP356545	PRJNA799829		799829.0	SRS11757020	SAMN25210038	simple	83332.0	Mycobacterium tuberculosis H37Rv	Mycobacterium tuberculosis H37Rv							no					ADVANCED MEDICAL & DENTAL INSTITUTE, UNIVERSITI SAINS MALAYSIA	SRA1361329		public	E2D6E0179EC5E6EF46A37383F00A9C47	F269DCD325604209EE699E01EFFC8D64				
1113	SRX13893156	SRR17730379	2/28/2022 0:04	1/25/2022 4:26	10601343.0	1908241740.0	10601343.0	180.0	1185.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17730/SRR17730379/SRR17730379.lite.1	MTB H37Rv RNA-seq kanamycin	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	2308.0	SRP356545	PRJNA799829		799829.0	SRS11757020	SAMN25210038	simple	83332.0	Mycobacterium tuberculosis H37Rv	Mycobacterium tuberculosis H37Rv							no					ADVANCED MEDICAL & DENTAL INSTITUTE, UNIVERSITI SAINS MALAYSIA	SRA1361329		public	39222B7E2BBE9C313813DBA58D735504	03A0D08819A685809D2578466E0459D0				
1114	SRX14019480	SRR17858736	12/3/2022 21:36	2/2/2022 11:07	13349167.0	1001187525.0	0.0	75.0	346.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17858/SRR17858736/SRR17858736.lite.1	GSM5856979	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2309.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856215	SAMN25597268	simple	1773.0	Mycobacterium tuberculosis	GSM5856979							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	FEC48C3678D2D427D23E69184D1E681A	3ABAC271AFA3E08D0741FDEB4D52F394				
1115	SRX14019481	SRR17858735	12/3/2022 21:36	2/2/2022 11:09	13737599.0	1030319925.0	0.0	75.0	360.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR017/17858/SRR17858735/SRR17858735.lite.1	GSM5856980	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2309.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856213	SAMN25597267	simple	1773.0	Mycobacterium tuberculosis	GSM5856980							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	7517BB2CFCF09E6DAFC0DCE79B414978	5E924737B308C9B1559EBE1CB6664AAB				
1116	SRX14019482	SRR17858734	12/3/2022 21:36	2/2/2022 11:05	5452995.0	408974625.0	0.0	75.0	143.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17858/SRR17858734/SRR17858734.lite.1	GSM5856981	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2309.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856214	SAMN25597266	simple	1773.0	Mycobacterium tuberculosis	GSM5856981							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	C2C6EA9F954BCE2B3E59D368D6397D83	D0890F6E15C15B81ADA331337FE77BDE				
1117	SRX14019483	SRR17858733	12/3/2022 21:36	2/2/2022 11:05	6145063.0	460879725.0	0.0	75.0	160.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17858/SRR17858733/SRR17858733.lite.1	GSM5856982	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2310.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856216	SAMN25597265	simple	1773.0	Mycobacterium tuberculosis	GSM5856982							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	61D14A642967747645B1A76F5A7B6297	EC888DFD5E405F55EA32B1B4CB1CCC69				
1118	SRX14019484	SRR17858732	12/3/2022 21:36	2/2/2022 11:04	4304758.0	322856850.0	0.0	75.0	113.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR017/17858/SRR17858732/SRR17858732.lite.1	GSM5856983	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2310.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856217	SAMN25597264	simple	1773.0	Mycobacterium tuberculosis	GSM5856983							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	11FD3BE66471D305B8988AD995C16EEA	9B10909BA5417E91A96157ADB87CBA77				
1119	SRX14019485	SRR17858731	12/3/2022 21:36	2/2/2022 11:05	5705745.0	427930875.0	0.0	75.0	148.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17858/SRR17858731/SRR17858731.lite.1	GSM5856984	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2310.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856218	SAMN25597263	simple	1773.0	Mycobacterium tuberculosis	GSM5856984							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	6C00840C5F08BB42CADEA8D2C9576613	EFD8B2A067EE78F8CAF1518FDD1FC144				
1120	SRX14019486	SRR17858730	12/3/2022 21:36	2/2/2022 11:05	7709461.0	578209575.0	0.0	75.0	208.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17858/SRR17858730/SRR17858730.lite.1	GSM5856985	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2311.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856220	SAMN25597262	simple	1773.0	Mycobacterium tuberculosis	GSM5856985							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	5A6DC04176FD9406EDB07390458F4BEC	39A4F9D4C337A42132CC7502262DBA39				
1121	SRX14019487	SRR17858729	12/3/2022 21:36	2/2/2022 11:05	4888880.0	366666000.0	0.0	75.0	132.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17858/SRR17858729/SRR17858729.lite.1	GSM5856986	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2311.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856219	SAMN25597261	simple	1773.0	Mycobacterium tuberculosis	GSM5856986							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	8F5E0D9C8EBFC1C88B36BCD35DCCF031	376E5E873BCCA63B05E5F09EB6AFC0E8				
1122	SRX14019488	SRR17858728	12/3/2022 21:36	2/2/2022 11:05	6879325.0	522828700.0	0.0	76.0	184.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR017/17858/SRR17858728/SRR17858728.lite.1	GSM5857011	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2311.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856222	SAMN25597236	simple	1773.0	Mycobacterium tuberculosis	GSM5857011							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	0465B8AB1F771DF3030BD85A58D4EF1B	CE49D9502EBE97110CFCE40A728151D3				
1123	SRX14019489	SRR17858727	12/3/2022 21:36	2/2/2022 11:06	13501184.0	1012588800.0	0.0	75.0	349.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17858/SRR17858727/SRR17858727.lite.1	GSM5857012	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2312.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856221	SAMN25597235	simple	1773.0	Mycobacterium tuberculosis	GSM5857012							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	96B2152CAF16B5FF6507F6651522A1AC	BA42E7BFF6423C210DA4119C680D4BD2				
1124	SRX14019490	SRR17858726	12/3/2022 21:36	2/2/2022 11:07	12055643.0	904173225.0	0.0	75.0	311.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR017/17858/SRR17858726/SRR17858726.lite.1	GSM5857013	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2312.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856224	SAMN25597234	simple	1773.0	Mycobacterium tuberculosis	GSM5857013							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	5B7BA4C1741A0793245693DDDD2EF532	B22EE65E6EB86B08C114D4ACA792551A				
1125	SRX14019491	SRR17858725	12/3/2022 21:36	2/2/2022 11:07	10230882.0	767316150.0	0.0	75.0	264.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17858/SRR17858725/SRR17858725.lite.1	GSM5857014	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2312.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856223	SAMN25597233	simple	1773.0	Mycobacterium tuberculosis	GSM5857014							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	78D9308130A7BD2F2F74E334EBFF12B6	A8ADBD48E3F5B2ACA50FD73AB56AB968				
1126	SRX14019492	SRR17858724	12/3/2022 21:36	2/2/2022 11:10	10140358.0	760526850.0	0.0	75.0	263.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR017/17858/SRR17858724/SRR17858724.lite.1	GSM5857015	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2313.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856225	SAMN25597232	simple	1773.0	Mycobacterium tuberculosis	GSM5857015							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	85812A3B6CFDAB408DD8D95EB91EB709	E809FC02E1BEC511C2E77C356A79BB6D				
1127	SRX14019493	SRR17858723	12/3/2022 21:36	2/2/2022 11:09	13968686.0	1047651450.0	0.0	75.0	363.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17858/SRR17858723/SRR17858723.lite.1	GSM5857016	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2313.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856226	SAMN25597231	simple	1773.0	Mycobacterium tuberculosis	GSM5857016							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	BBAFB393B5852C9D461A16D8A6638406	84D85DF750F2A80BC52650A605C2BEBE				
1128	SRX14019494	SRR17858722	12/3/2022 21:36	2/2/2022 11:07	7984896.0	598867200.0	0.0	75.0	209.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR017/17858/SRR17858722/SRR17858722.lite.1	GSM5857017	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2313.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856227	SAMN25597230	simple	1773.0	Mycobacterium tuberculosis	GSM5857017							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	C11411358495748B04FD7EF68C65DCC0	CA4D80D9B5628E61357FEB09616D2EC0				
1129	SRX14019495	SRR17858721	12/3/2022 21:36	2/2/2022 11:06	6776487.0	508236525.0	0.0	75.0	181.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17858/SRR17858721/SRR17858721.lite.1	GSM5857018	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2313.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856228	SAMN25597229	simple	1773.0	Mycobacterium tuberculosis	GSM5857018							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	F9C9B5F8DBFF7FA836573F726F2DE9A5	286684A8241032698A469F363C8C8D58				
1130	SRX14019496	SRR17858720	12/3/2022 21:36	2/2/2022 11:07	9690259.0	726769425.0	0.0	75.0	253.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17858/SRR17858720/SRR17858720.lite.1	GSM5856955	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2314.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856230	SAMN25597292	simple	1773.0	Mycobacterium tuberculosis	GSM5856955							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	720FF8A283938EA1B2ED39A7B2F03B5D	B2A477244EC8EEC84545463A48AD087C				
1131	SRX14019497	SRR17858719	12/3/2022 21:36	2/2/2022 11:06	8536302.0	640222650.0	0.0	75.0	224.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17858/SRR17858719/SRR17858719.lite.1	GSM5856956	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2314.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856229	SAMN25597291	simple	1773.0	Mycobacterium tuberculosis	GSM5856956							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	7EBA6D08C6ED75A9B142581E02A39FBC	EFFDB2CB45EE6FD6AAF48EC0A94B3350				
1132	SRX14019498	SRR17858718	12/3/2022 21:36	2/2/2022 11:10	8618534.0	646390050.0	0.0	75.0	226.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17858/SRR17858718/SRR17858718.lite.1	GSM5856957	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2314.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856231	SAMN25597290	simple	1773.0	Mycobacterium tuberculosis	GSM5856957							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	1BDEADA1B86831466F99FD99EFC09E3E	C43DEEE6C8459290F81CB0918FFC2420				
1133	SRX14019499	SRR17858717	12/3/2022 21:36	2/2/2022 11:04	6769210.0	507690750.0	0.0	75.0	178.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR017/17858/SRR17858717/SRR17858717.lite.1	GSM5856958	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2315.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856232	SAMN25597289	simple	1773.0	Mycobacterium tuberculosis	GSM5856958							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	7F146D1174125951CF05B24B542381D1	9E705F599676F35222C98B538134BEC1				
1134	SRX14019500	SRR17858716	12/3/2022 21:36	2/2/2022 11:15	15060918.0	1129568850.0	0.0	75.0	399.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17858/SRR17858716/SRR17858716.lite.1	GSM5856959	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2315.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856234	SAMN25597288	simple	1773.0	Mycobacterium tuberculosis	GSM5856959							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	658E69BE255BCFE9756C48EA01242493	2E830828D86DF58725E19980917CDE41				
1135	SRX14019501	SRR17858715	12/3/2022 21:36	2/2/2022 11:06	7853962.0	589047150.0	0.0	75.0	206.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17858/SRR17858715/SRR17858715.lite.1	GSM5856960	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2315.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856233	SAMN25597287	simple	1773.0	Mycobacterium tuberculosis	GSM5856960							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	D6CB658A9CCBAC1AF68E83D487933F80	4260CA0079F450394025BF9E471EC2FA				
1136	SRX14019502	SRR17858714	12/3/2022 21:36	2/2/2022 11:08	11640432.0	873032400.0	0.0	75.0	313.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR017/17858/SRR17858714/SRR17858714.lite.1	GSM5856961	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2316.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856235	SAMN25597286	simple	1773.0	Mycobacterium tuberculosis	GSM5856961							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	1AE69EBB27CAD419851DE0DF0CB0E36B	B9BEBE6CD7598B047EB618E5E4977AD4				
1137	SRX14019503	SRR17858713	12/3/2022 21:36	2/2/2022 11:05	5157872.0	386840400.0	0.0	75.0	139.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17858/SRR17858713/SRR17858713.lite.1	GSM5856962	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2316.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856236	SAMN25597285	simple	1773.0	Mycobacterium tuberculosis	GSM5856962							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	31160D5B1311DC0AC2B44D1E51BF8CF9	C6BD7B7D64B74B39D4A9B9057F3DD0C0				
1138	SRX14019504	SRR17858712	12/3/2022 21:36	2/2/2022 11:07	6669857.0	500239275.0	0.0	75.0	180.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17858/SRR17858712/SRR17858712.lite.1	GSM5856963	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	NextSeq 500	2316.0	SRP357809	PRJNA802800	3.0	802800.0	SRS11856238	SAMN25597284	simple	1773.0	Mycobacterium tuberculosis	GSM5856963							no					GRUNDNER LAB, CGIDR, SEATTLE CHILDREN'S RESEARCH INSTITUTE	SRA1365971		public	A1FB1C6B4BB0FF48E0841540631C651A	7D216342EDF7879DFBC490C31B5A25F0				
